,dose_1000x,dose_100x,dose_10x,dose_1x,,,,,
147/OLBO,96.75445164,110.8411633,106.2846564,99.74364304,,,,,
Decane,97.14183404,107.6465324,107.0597497,106.0070671,,,,,
117/OLBO,99.37497965,109.4317673,121.1325357,0,,,,,
149/OLBO,97.57479085,110.4653244,101.9005355,107.0602092,,,,,
061/P&Hwax,97.77987565,112.5324385,106.1393265,101.1570706,,,,,
085C/OLBO,101.9499333,108.9932886,106.1635481,118.0350585,,,,,
168/SRGO,100.5827013,108.5861298,136.19841,0,,,,,
Fluorene,94.84032683,102.1029083,104.9040217,116.7602023,,,,,
146/gasoline,96.27592044,116.8545861,101.7552055,98.38564401,,,,,
084/UATO,98.25840685,114.2863535,139.2503395,0,,,,,
Indene,94.49851883,104.2013423,101.1738856,115.3190605,,,,,
175/VHGO,92.49324522,110.935123,129.1499061,0,,,,,
171/SRGO,92.42488362,118.4519016,152.7902491,0,,,,,
172/SRGO,94.22507243,111.8747204,141.4545109,0,,,,,
186/RAE,89.57648361,108.0850112,95.28802152,90.57022102,,,,,
185/RAE,81.82883557,89.85682327,94.14960337,111.5776346,,,,,
034/HFO,98.80529965,124.246085,0,0,,,,,
043/kerosine(DUPLICATE),101.4030405,107.5212528,115.585775,108.9170651,,,,,
184/VHGO(DUPLICATE),98.91923565,117.8255034,154.1708838,0,,,,,
083/UATO(DUPLICATE),97.25577004,111.4362416,151.5549442,0,,,,,
091/HFO(DUPLICATE),99.23825645,119.9552573,143.7555688,0,,,,,
076/gasoline(DUPLICATE),98.39513005,118.98434,110.7414424,97.08307351,,,,,
020/HFO(DUPLICATE),100.4459781,118.0447427,117.1844047,86.32993834,,,,,
192/BITUMENS(DUPLICATE),97.07347244,107.3646532,105.6306715,102.2102127,,,,,
177/VHGO(DUPLICATE),101.4486149,111.5615213,116.0944299,115.1527749,,,,,
183/VHGOa(DUPLICATE),100.6054885,103.7315436,145.4026419,0,,,,,
168/SRGO(DUPLICATE),102.7246981,112.2192394,142.2538257,0,,,,,
"1,2,4-Trimethylbenzene(DUPLICATE)",96.61772844,98.87695749,119.0979161,107.863923,,,,,
Benz(a)anthracene(DUPLICATE),103.2032293,103.7002237,129.949221,0,,,,,
"1,2,4,5-Tetramethylbenzene(DUPLICATE)",101.3118917,99.94183445,98.50950268,102.0716414,,,,,
1-Methylnaphthalene(DUPLICATE),98.57742765,101.7583893,101.4161022,103.5682117,,,,,
Fluoranthene(DUPLICATE),95.72902764,102.6666667,99.84169413,120.6401995,,,,,
Propylbenzene(DUPLICATE),96.38985644,105.8299776,101.6825405,118.5893439,,,,,
Anthracene(DUPLICATE),104.2058661,121.9910515,107.9801728,130.5064782,,,,,
Biphenyl(DUPLICATE),100.9017221,114.0671141,105.0009083,120.1413428,,,,,
p-Cymene(DUPLICATE),94.31622123,107.8344519,106.7690897,119.7256288,,,,,
Fluorene(DUPLICATE),97.07347244,111.4675615,109.7483542,115.0696321,,,,,
