,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,log_pod
126,up,1.010718045,10.17846179,65.54742051,1.652662202,20.59978296,100,0.085031383,70.21751022,57984.45928,0.004630019
127,up,2.608787217,100,100,100,100,100,5.40E-05,0.001740636,0.056075752,0.416438658
128,up,0.264751314,1.394684178,4.765185352,0.379797225,2.25637121,8.604374778,0.105392955,32.5095672,10027.91847,-0.577161877
129,up,0.271805335,11.23615172,100,0.50880313,60.43422348,100,2.02E-07,0.035988029,6397.732825,-0.565742023
130,down,43.4021508,49.51753557,53.84154813,44.76409855,51.22926238,55.85801187,48.55858725,72.73304242,108.9425323,1.637511252
131,down,40.54207724,46.23834273,50.26535372,41.81255665,47.83157585,52.14753358,44.84694246,66.69691674,99.19246348,1.607905997
132,up,10.07041738,100,100,25.11470439,100,100,0.002987229,1235.68376,511147323.2,1.003047471
133,down,40.22272656,46.31774953,50.6345168,41.58092175,48.02502016,52.65323232,45.2396139,69.16912635,105.7561643,1.604471507
134,down,3.165676608,3.467123891,3.674229214,3.233972702,3.549544626,3.769825989,3.351140109,4.388643583,5.747355189,0.500466547
135,up,5.971195877,100,100,18.17951554,100,100,1.82E-09,14.32530767,1.13043E+11,0.776061318
136,up,0.71998677,32.24942159,100,1.470553118,100,100,1.07E-06,23.16449535,503294602.5,-0.142675484
137,up,53.25059994,74.88283823,97.67912735,57.44629384,82.76738303,100,41.71033553,92.59127441,205.5400415,1.726324505
138,up,4.382239871,26.46197113,100,6.539335226,44.4641286,100,1.326079399,130.0853214,12761.0691,0.641696146
139,down,0.022381251,0.048943341,0.104211387,0.025885951,0.064732871,0.156301863,4.01E-07,33.92448973,2867466678,-1.650115644
140,down,7.99220626,12.21335478,15.84147807,8.847428088,13.58166211,17.73425602,11.93433734,39.90777891,133.4494553,0.902666683
141,down,100,100,100,100,100,100,9.62E-17,27.97088102,8.13012E+18,2
142,up,100,100,100,100,100,100,3.44E-24,2.76E-06,2.21023E+12,2
143,up,2.999622177,100,100,7.011143285,100,100,0.000137203,194.5965883,275999078,0.477066556
144,up,1.137508697,14.07645511,100,1.924736392,31.19268587,100,0.047447454,56.84742419,68109.65359,0.055954726
145,up,100,100,100,100,100,100,3.07E-15,1.39E-05,63124.88738,2
146,up,16.08697501,100,100,100,100,100,2.11E-11,0.000375326,6691.55551,1.206474387
147,down,42.88965371,48.9314958,53.17119825,44.24233856,50.61184289,55.144101,47.91106068,71.14275455,105.6393128,1.63235254
148,up,40.14375868,100,100,100,100,100,1.73E-12,0.000244474,34480.78361,1.603618033
149,up,100,100,100,100,100,100,5.90E-06,0.000642889,0.0700621,2
150,up,1.219050416,23.38958729,100,2.236679958,60.34686043,100,0.014079221,163.7317171,1904087.981,0.086021667
151,down,43.5805527,49.41009857,53.5097887,44.88339702,51.03447698,55.41864033,48.19384228,70.54488387,103.2617531,1.639292734
152,up,14.80906514,51.45828038,100,19.53007462,74.19128277,100,6.011887019,113.9219373,2158.757768,1.170527643
153,up,100,100,100,100,100,100,4.04E-06,0.00039504,0.038595155,2
154,down,40.32235917,46.73317217,51.3151658,41.74224181,48.54266191,53.46351207,45.99953445,72.36864898,113.8537904,1.605545934
155,up,34.08916895,76.03283112,100,40.78280153,95.96690572,100,19.88124058,134.3939465,908.4811779,1.532616414
156,down,39.63622924,45.33076297,49.35270736,40.90765494,46.92200436,51.232899,43.9492452,65.69795588,98.20922721,1.598092331
157,down,42.29589783,48.73957337,53.33869873,43.72270887,50.55708957,55.49062568,48.16489311,74.85040716,116.3208945,1.626298248
158,down,44.83084021,50.90470605,55.17515583,46.18759218,52.59734363,57.16093234,49.98513035,73.67746753,108.5996812,1.651576878
159,down,92.17259674,100,100,100,100,100,4.84E-08,419.3645607,3.62993E+12,1.964601823
160,down,100,100,100,100,100,100,1.09E-58,84818312537,6.62E+79,2
161,down,2.931320401,3.258684744,3.485496368,3.005231162,3.348750617,3.590752897,3.136051564,4.282464275,5.847958775,0.467063291
162,up,0.295566015,100,100,0.647741014,100,100,6.27E-07,0.003162173,15.93733774,-0.529345503
163,down,40.38262977,46.76971806,51.36544205,41.79101333,48.58251349,53.5252305,45.99380116,72.77954648,115.1647016,1.606194597
164,down,43.38538218,49.64456699,54.08807183,44.77558744,51.4024735,56.16254201,48.86015874,74.13718966,112.4908931,1.637343428
165,down,41.7026712,47.82086534,52.18479148,43.05867777,49.54517329,54.22847522,46.76294712,71.42236821,109.0853976,1.620163874
166,up,0.358285651,100,100,100,100,100,4.62E-05,0.001647145,0.058723913,-0.445770585
167,up,100,100,100,100,100,100,0.000140261,0.001990903,0.028259456,2
168,up,100,100,100,100,100,100,1.21E-08,5.39E-05,0.239909949,2
169,up,0.162671584,4.085957024,100,0.277348586,18.81192166,100,1.88E-06,0.026511892,374.2958606,-0.788688304
170,down,44.3694084,50.4578068,54.74728678,45.72788446,52.15723536,56.74391356,49.52476986,73.39268064,108.763465,1.647083638
171,down,45.0245452,51.08375355,55.35637134,46.37529667,52.77645348,57.34493174,50.14480258,73.97948809,109.1432088,1.653449335
172,up,2.013868246,100,100,4.767764006,100,100,4.61E-06,17.4924363,66343666.45,0.304031054
173,down,41.09667355,46.77615367,50.77807408,42.36579208,48.36053517,52.64572205,45.4029153,67.00994403,98.89965366,1.613806671
174,up,100,100,100,100,100,100,4.05E-123,1.39E-22,4.75E+78,2
175,up,100,100,100,100,100,100,6.18E-31,2.32E-07,8.70239E+16,2
176,up,48.36687412,69.74338214,92.33337159,52.48696795,77.57327355,100,37.73218533,90.03309702,214.8287593,1.68454802
177,up,24.45551336,56.44014471,100,29.57155195,71.32575539,100,16.29965168,131.3281659,1058.126118,1.388376784
178,up,0.111652478,1.012490789,8.427154722,0.169103349,2.209814845,26.97035319,1.11E-06,6.358772397,36530681.96,-0.952131633
179,up,0.501788238,11.40814636,100,0.920195715,33.49605283,100,0.000120349,42.14789281,14760726.78,-0.299479523
180,up,4.728140858,25.88984346,91.36208518,6.918097743,42.08296923,100,1.687521151,131.0086911,10170.70342,0.674690406
181,up,0.691410139,24.46823158,100,1.355133001,90.4817247,100,3.86E-05,11.15228256,3223407.542,-0.160264256
