Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
95,Cardio_peak_freq_24hr,95,096B/UDAE,100.0585957,114.4742729,119.2190244,0,1.562602459
96,Cardio_peak_freq_24hr,96,176/VHGO,98.78251245,116.7293065,135.6413118,0,1.649830805
97,Cardio_peak_freq_24hr,97,070/CGO,99.32940525,103.261745,124.1844653,0,1.643825757
98,Cardio_peak_freq_24hr,98,031/HFO,97.91659885,118.7337808,128.3505913,0,1.591144213
99,Cardio_peak_freq_24hr,99,Anthracene,92.47045802,96.52796421,98.26728605,133.7213331,1.653048944
100,Cardio_peak_freq_24hr,100,189/BITUMEN,93.49588203,109.7449664,99.62369917,115.4022033,1.640848056
101,Cardio_peak_freq_24hr,101,121/CGO,113.9815749,106.2684564,108.4646061,114.0442043,-1.804289132
102,Cardio_peak_freq_24hr,102,111/petrolatum,98.25840685,109.212528,102.9905103,100.0762142,2
103,Cardio_peak_freq_24hr,103,202/Paraffinwax,98.91923565,109.5257271,103.6929385,107.7253516,1.026783805
104,Cardio_peak_freq_24hr,104,192/BITUMENS,96.61772844,110.0268456,102.8451803,102.2933555,2
105,Cardio_peak_freq_24hr,105,153/OLBO,96.61772844,116.4161074,104.58914,106.1456385,0.023250859
106,Cardio_peak_freq_24hr,106,113/OLBO,98.57742765,112.3758389,105.9939965,109.221922,-0.072746453
107,Cardio_peak_freq_24hr,107,106/CGO,100.7649989,135.9597315,0,0,0.503226177
108,Cardio_peak_freq_24hr,108,097/HFO,95.06819883,121.5212528,136.8523949,0,1.617245099
109,Cardio_peak_freq_24hr,109,Hexadecane,100.9928709,110.246085,101.3676589,102.8199266,2
110,Cardio_peak_freq_24hr,110,173/OGO,98.30398125,111.4049217,109.6999109,0,1.612790423
111,Cardio_peak_freq_24hr,111,Biphenyl,97.27855724,105.1409396,100.5441224,108.3073512,2
112,Cardio_peak_freq_24hr,112,007/HFO,101.3346789,107.8970917,104.9040217,117.148202,-0.045932412
113,Cardio_peak_freq_24hr,113,102/CGO,96.77723884,111.8747204,114.9075684,0,1.581568623
114,Cardio_peak_freq_24hr,114,066/OLBO,97.21019564,107.6465324,103.4265002,146.6084667,1.144429751
115,Cardio_peak_freq_24hr,115,170/SRGO,99.26104365,106.0178971,112.9213921,0,1.603153663
116,Cardio_peak_freq_24hr,116,012/CGO,98.05332205,109.6196868,127.2848381,0,1.61289322
117,Cardio_peak_freq_24hr,117,123/kerosine,95.18213484,106.6442953,103.1358403,130.2847641,1.183778606
118,Cardio_peak_freq_24hr,118,177/VHGO,93.42752043,103.606264,105.7275582,11.0579921,1.528249228
