Entity_id,Phenotype,control_id,control_value
480,Cardio_Total_Cell_24h,32,94.51432035
481,Cardio_Total_Cell_24h,33,100.6667677
482,Cardio_Total_Cell_24h,34,100.719806
483,Cardio_Total_Cell_24h,35,96.58281558
484,Cardio_Total_Cell_24h,36,94.67343537
485,Cardio_Total_Cell_24h,37,113.8202758
486,Cardio_Total_Cell_24h,38,104.6976815
487,Cardio_Total_Cell_24h,39,99.12865586
488,Cardio_Total_Cell_24h,40,102.6291862
489,Cardio_Total_Cell_24h,41,99.71207759
490,Cardio_Total_Cell_24h,42,97.53750568
491,Cardio_Total_Cell_24h,43,101.3032278
492,Cardio_Total_Cell_24h,44,103.530838
493,Cardio_Total_Cell_24h,45,93.45355357
494,Cardio_Total_Cell_24h,46,98.59827247
495,Cardio_Total_Cell_24h,47,99.1816942
496,Cardio_Total_Cell_24h,48,99.65903925
497,Cardio_Total_Cell_24h,49,96.15850886
498,Cardio_Total_Cell_24h,50,95.30989544
499,Cardio_Total_Cell_24h,51,99.12865586
500,Cardio_Total_Cell_24h,52,101.6214578
501,Cardio_Total_Cell_24h,53,102.5231096
502,Cardio_Total_Cell_24h,54,97.9618124
503,Cardio_Total_Cell_24h,55,101.0910744
504,Cardio_Total_Cell_24h,56,105.4402182
505,Cardio_Total_Cell_24h,57,101.5101072
506,Cardio_Total_Cell_24h,58,99.96505233
507,Cardio_Total_Cell_24h,59,95.58739677
508,Cardio_Total_Cell_24h,60,103.8791914
509,Cardio_Total_Cell_24h,61,101.9221219
510,Cardio_Total_Cell_24h,62,95.43289128
511,Cardio_Total_Cell_24h,63,100.7890816
512,Cardio_Total_Cell_24h,64,98.83201207
513,Cardio_Total_Cell_24h,65,104.7032207
514,Cardio_Total_Cell_24h,66,101.3040999
515,Cardio_Total_Cell_24h,67,96.1539169
516,Cardio_Total_Cell_24h,68,98.62600475
517,Cardio_Total_Cell_24h,69,96.6689352
518,Cardio_Total_Cell_24h,70,104.3942097
519,Cardio_Total_Cell_24h,71,94.14534552
520,Cardio_Total_Cell_24h,72,91.67325767
521,Cardio_Total_Cell_24h,73,106.0422683
