,dose_1000x,dose_100x,dose_10x,dose_1x
085D/OLBO,85.67154929,95.76219559,92.52910576,112.7269575
139/OLBO,94.00428627,80.57412192,104.0308056,98.10351115
028/HFO,71.28594519,76.40362239,84.53935063,58.51039584
078/HFO,95.84775377,81.60449425,115.6360175,81.13418418
152/slackwax,80.81829756,99.48794295,60.23000526,142.8682628
049/kerosine,61.39090624,115.9939549,70.91887863,159.9527537
011/kerosine,98.29823253,111.8163638,68.97319397,132.9438587
069/TDAE,106.2657569,106.1469972,78.81395317,148.2821558
147/OLBO,102.4977947,102.3611482,86.19316198,113.929756
Decane,103.5000362,122.0840468,81.2293464,145.0529235
117/OLBO,86.0786606,94.69113854,71.81145924,89.62375448
149/OLBO,100.3499332,118.6184349,84.70327079,132.6316354
061/P&Hwax,106.0428952,104.0739202,74.95448244,112.9773251
085C/OLBO,100.414294,112.75797,87.0592711,139.1417008
168/SRGO,94.95101106,84.608703,60.20624734,5.254372325
Fluorene,106.5350641,70.2555916,69.29187461,77.80941041
146/gasoline,86.07058285,97.19418138,96.83316462,60.60762119
084/UATO,98.47870162,100.9735488,90.75447055,86.3143343
Indene,84.63724658,86.1186615,93.97657998,74.9772801
175/VHGO,102.6434211,76.92666613,78.39141698,16.18751107
171/SRGO,98.4521921,88.45834849,85.77741922,21.27511158
172/SRGO,96.65263277,89.39718192,97.45186306,14.50017401
186/RAE,83.8512989,78.85765501,110.0687696,74.89623848
185/RAE,79.33524033,68.38809418,99.78749835,104.4037298
034/HFO,88.85169266,68.86891427,70.80179498,202.2368336
043/kerosine(DUPLICATE),94.6587365,119.2884955,96.03493638,207.4745705
184/VHGO(DUPLICATE),91.38672374,114.2790269,86.60788954,60.17384515
083/UATO(DUPLICATE),106.5726656,125.6498143,77.45132815,1.221570179
091/HFO(DUPLICATE),104.4311164,115.9871752,73.26877249,162.0811131
076/gasoline(DUPLICATE),109.589256,141.7175417,117.333948,141.1271822
020/HFO(DUPLICATE),94.89750384,124.0874627,111.425624,111.4060021
192/BITUMENS(DUPLICATE),119.9025153,122.8061955,111.2667951,87.64936263
177/VHGO(DUPLICATE),108.1571856,122.3521958,106.115977,27.95706665
183/VHGOa(DUPLICATE),109.4822416,117.6201099,86.91299096,5.227501147
168/SRGO(DUPLICATE),97.03173594,116.9515883,118.9069939,34.60532392
"1,2,4-Trimethylbenzene(DUPLICATE)",105.6862599,102.5257379,107.962218,90.73826863
Benz(a)anthracene(DUPLICATE),100.8774329,91.73162821,97.88491762,111.3211233
"1,2,4,5-Tetramethylbenzene(DUPLICATE)",105.6696049,90.84303199,119.9197113,114.3051011
1-Methylnaphthalene(DUPLICATE),98.51378275,99.52554288,119.5949242,116.4594864
Fluoranthene(DUPLICATE),100.0952715,78.24090955,118.8533715,76.05041967
Propylbenzene(DUPLICATE),90.32036551,84.9865739,123.018623,124.1872769
Anthracene(DUPLICATE),104.6378225,90.11255786,132.3998486,105.6095213
Biphenyl(DUPLICATE),92.85413071,105.0808689,122.6568384,133.5533592
p-Cymene(DUPLICATE),104.0918967,81.45654854,129.025696,108.2074866
Fluorene(DUPLICATE),81.4606397,64.46756065,93.89275361,80.4858608
