,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
137,down,100,100,100,100,100,100,2.47E-18,0.000156792,9948758248,2
138,up,100,100,100,100,100,100,2.23E-18,1.902430171,1.62084E+18,2
139,down,22.83058652,29.30671586,34.14933466,24.23187371,31.20029698,36.46802898,32.44037456,68.98949913,146.7168939,1.358517069
140,down,7.79500108,11.30903342,14.21644323,8.517395121,12.41833714,15.68928228,12.65250249,38.83749145,119.2136294,0.89181618
141,down,0.023980935,100,100,0.034850193,100,100,0.001436477,0.005382132,0.020165551,-1.620133891
142,down,100,100,100,100,100,100,2.75E-38,8.63E-07,2.71E+25,2
143,down,100,100,100,100,100,100,1.98E-05,0.000985721,0.0491003,2
144,down,100,100,100,100,100,100,6.98E-19,0.000143129,29349465077,2
145,up,71.00751663,91.78817049,100,75.07500906,99.42376401,100,56.56538994,99.18913376,173.9311665,1.851304324
146,down,3.416326656,100,100,19.8450312,100,100,7.63E-09,0.000409458,21.96736393,0.53355939
147,down,11.71843921,16.35363332,20.06006019,12.68798041,17.77974709,21.90176401,18.46613049,50.41561382,137.6430281,1.068869771
148,up,100,100,100,100,100,100,1.89E-52,176692.3739,1.65E+62,2
149,down,100,100,100,100,100,100,0.000124648,0.001710283,0.023466685,2
150,up,100,100,100,100,100,100,2.52E-20,3.903120744,6.04E+20,2
151,down,12.34107689,17.03000397,20.72735176,13.32972894,18.45698205,22.55243662,19.02165151,49.55838331,129.1177769,1.091353058
152,up,100,100,100,100,100,100,0.087672669,15105.37711,2602549020,2
153,up,100,100,100,100,100,100,2.77E-24,17.62594928,1.12E+26,2
154,down,27.41293278,60.40827953,100,32.779363,75.52252021,100,17.86177115,123.7594212,857.4958332,1.437955501
155,up,100,100,100,100,100,100,5.97E-24,13.56212474,3.08E+25,2
156,down,15.87394436,21.29082181,25.44681102,17.03231072,22.90533262,27.46769329,23.87498987,56.89786952,135.5966044,1.200684854
157,down,12.76805031,17.15783818,20.6044688,13.69598408,18.48900579,22.30438474,17.92729361,43.62542106,106.1608854,1.106124585
158,down,19.55991699,25.65482494,30.24741362,20.87482282,27.44686431,32.45752645,28.83448674,64.50841437,144.3180023,1.291367007
