,dose_1000x,dose_100x,dose_10x,dose_1x
"1,2,4-Trimethylbenzene(DUPLICATE)",96.85043909,100.1082753,89.22731448,105.1966695
Benz(a)anthracene(DUPLICATE),104.2218336,100.7269915,99.63049913,100.2583979
"1,2,4,5-Tetramethylbenzene(DUPLICATE)",108.4724918,105.3054911,103.631724,97.27246626
1-Methylnaphthalene(DUPLICATE),107.5577932,111.5545244,105.3465347,104.7947172
Fluoranthene(DUPLICATE),99.21789427,108.1515855,106.3182607,103.875969
Propylbenzene(DUPLICATE),115.3596341,105.6767208,112.0342962,97.90410566
Anthracene(DUPLICATE),93.29925633,93.42614076,104.8892518,112.833764
Biphenyl(DUPLICATE),113.1535963,112.6682135,110.719608,97.84668389
p-Cymene(DUPLICATE),112.9383731,110.2552204,109.0619577,105.7134654
Fluorene(DUPLICATE),121.2782721,105.3673627,116.1498418,107.3786965
