,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
101,down,43.44205119,49.3258103,53.36522632,44.77099188,50.93664098,55.21435061,50.53743723,74.25562286,109.1052065,1.637910323
102,up,8.502720847,35.81288935,100,11.7733733,53.53214774,100,4.353954426,184.2144116,7794.052517,0.929557921
103,up,100,100,100,100,100,100,5.90E-33,2339.42851,9.28E+38,2
104,down,34.53645916,40.91600716,45.38640734,35.96501085,42.68943827,47.45861418,42.70774482,70.53037112,116.4784812,1.53827781
105,up,100,100,100,100,100,100,1.18E-20,787.2017089,5.24E+25,2
106,up,27.79157006,67.31702227,100,33.88462427,86.83385339,100,15.8143858,136.2663463,1174.153545,1.443913083
107,down,0.247471415,0.278512801,0.299708915,0.2545218,0.286965,0.309430682,0.277076273,0.39210504,0.55488823,-0.606474959
108,down,2.984973901,3.304470696,3.521717929,3.057587349,3.39122826,3.620970757,3.283293987,4.452474669,6.038000482,0.474940538
109,up,100,100,100,100,100,100,4.46E-31,2.23598E+11,1.12E+53,2
110,down,2.01733779,2.226379184,2.371344661,2.064775828,2.283785206,2.439326843,2.094277132,2.759317855,3.635543217,0.304778624
111,up,100,100,100,100,100,100,2.09E-33,44180.14844,9.33E+41,2
112,up,22.08805821,43.27417161,70.80755923,25.70641687,52.33982557,91.05695722,15.30123709,83.01828021,450.4233749,1.344157538
113,down,2.78678998,3.081834069,3.281344379,2.854075479,3.161590362,3.372292703,3.065226156,4.131098557,5.567607224,0.44510424
114,up,6.08917925,9.773101373,13.21886994,6.805190756,11.04321543,15.11668581,7.87903602,31.28120874,124.1920988,0.784558759
115,up,100,100,100,100,100,100,8.38E-204,4.09E+35,2.00E+274,2
116,down,2.708127509,3.017412933,3.2270232,2.778624779,3.101146243,3.322755841,3.002927168,4.127851006,5.674181548,0.432669109
117,down,46.67457204,52.63081747,56.75360759,48.01053561,54.27363604,58.64199714,54.31382625,79.37051341,115.9866434,1.669080345
118,down,0.123411433,0.78044066,3.408790836,0.179747786,1.384248221,6.916015398,0.149645769,24737.38693,4089245654,-0.908644605
119,down,3.264829866,3.582931227,3.795514964,3.337850334,3.668119944,3.89189165,3.569359657,4.687409114,6.155671134,0.513860555
120,down,0.013480175,100,100,0.0146381,100,100,0.003324017,0.006948565,0.014525362,-1.870304467
121,down,0.012687942,0.029483492,100,0.01351304,100,100,0.003601116,0.006962133,0.013460075,-1.896608813
122,down,100,100,100,100,100,100,8.66E-157,1.15E-11,1.52E+134,2
123,up,44.15149177,61.6259255,78.37838689,47.60558476,67.66760611,88.37376746,37.5321893,89.50273746,213.4365238,1.644945382
124,down,2.773445008,3.099902932,3.321103925,2.847895204,3.188257946,3.422165548,3.086751448,4.274514983,5.919322838,0.443019559
125,up,35.32051746,59.64018663,87.2443459,39.74681937,69.12616649,100,26.92190943,104.8336185,408.2209546,1.548027058
126,up,14.95203429,22.52024394,29.42195465,16.44826404,25.07586352,33.19866854,16.80737388,54.9655112,179.7548768,1.174700284
127,down,41.95586306,49.73537061,55.30631158,43.68791626,51.92891394,57.94474755,47.4431489,77.07577672,125.2167172,1.622792659
128,down,42.72021736,50.04067995,55.29626578,44.34086753,52.11248844,57.7730255,48.71271421,78.36372107,126.0630388,1.630633454
129,up,7.622392487,15.61106986,25.1160691,9.001957079,18.87936838,31.25561782,8.00511833,59.4957776,442.1855376,0.882091307
130,down,3.818844764,4.630449292,5.215222117,3.998541296,4.860657168,5.491714277,4.60397582,8.0552927,14.0938491,0.581932005
131,down,2.668170131,3.017635717,3.255669566,2.747715036,3.11257821,3.36481074,3.007218684,4.297354223,6.140974522,0.426213518
132,down,0.02126036,100,100,0.040998443,100,100,0.002141896,0.00529311,0.013080473,-1.672429391
133,down,44.38130174,50.46180554,54.6779839,45.74503266,52.1406735,56.61282517,52.18807095,77.91551859,116.3259712,1.647200036
134,down,0.081778837,0.100646263,0.114479531,0.085917347,0.106070967,0.121078082,0.09975551,0.183458652,0.337395669,-1.087359071
135,down,100,100,100,100,100,100,7.03E-91,7.29E-25,7.55E+41,2
136,up,8.480309965,15.4428295,23.06482999,9.740529199,18.12194881,27.77172277,8.480610142,45.38737139,242.9086407,0.928411726
137,down,100,100,100,100,100,100,0,0,Inf,2
138,up,42.17370455,60.52562978,79.02638024,45.733851,67.08388607,90.59463923,34.12533421,85.86302434,216.0406372,1.625041751
139,down,2.77576334,3.100673414,3.320021017,2.850028934,3.188347234,3.420090595,3.089872616,4.26232404,5.879661877,0.443382436
140,down,42.14137542,48.08065688,52.19678936,43.47544694,49.71904859,54.08863155,49.33235237,73.95808546,110.8764967,1.624708706
141,down,0.014432337,100,100,0.016366563,100,100,0.00296857,0.006161892,0.012790302,-1.840663353
142,up,7.852632968,11.18456155,13.95196935,8.533168547,12.2413443,15.347935,13.83933,43.47308997,136.5607693,0.895015299
143,down,0.524071822,8.088775622,76.32180794,0.917094645,19.11351889,100,0.007499066,1364.243362,248185552.3,-0.280609191
144,up,8.363263358,10.69521653,12.75879504,8.841285876,11.45671932,13.92371243,7.464898913,14.29252959,27.36492543,0.922375773
145,up,47.32644328,59.96492619,71.22221615,49.92366953,64.09942401,77.68867078,41.84595356,76.65193197,140.4082874,1.675103867
146,down,0.015145549,100,100,0.018411564,100,100,0.003445331,0.006505575,0.012284018,-1.819714974
147,down,0.115143856,0.708837562,3.569587508,0.163606443,1.306857764,8.136573183,0.000426135,57764.43701,7.83021E+12,-0.938759232
148,up,39.25842245,73.07364022,100,45.10234961,87.42682038,100,26.09985301,120.8921095,559.9610899,1.593932844
149,up,44.0715004,61.67889901,78.50719612,47.55199319,67.75785278,88.49290159,37.6962746,91.05374933,219.936462,1.644157836
150,down,100,100,100,100,100,100,0,0,Inf,2
151,down,2.866773524,3.223505106,3.46563744,2.948095193,3.320167466,3.576419837,3.212407116,4.517937813,6.354039618,0.457393385
152,up,31.36833924,43.82503023,55.03207297,33.87054888,47.9699609,61.23770923,30.05271695,76.42872971,194.3701375,1.496491526
153,down,34.62700487,40.90366639,45.31079745,36.03053413,42.65141175,47.35513837,42.51494014,69.85677204,114.7824408,1.539414928
154,down,2.910629268,3.197962504,3.389913535,2.976613455,3.274883408,3.476941615,3.186219829,4.195251135,5.523828559,0.463986892
155,up,100,100,100,100,100,100,5.18E-07,71643479.85,9.92E+21,2
156,down,2.523152427,2.855517744,3.081969649,2.598798329,2.945832783,3.185823873,2.845434578,4.073021788,5.830218912,0.401943488
157,down,39.49642934,45.34346586,49.36535055,40.81791115,46.94564222,51.21212912,46.34196021,69.80367865,105.1434495,1.596557835
158,down,2.508158025,2.822896487,3.035939727,2.580044223,2.907982754,3.133331417,2.814709629,3.958998414,5.568485033,0.399354895
159,down,42.88818357,49.3069231,53.72929983,44.33856375,51.06751354,55.76379883,50.05043418,75.52237534,113.9576364,1.632337653
160,down,36.56496332,44.17382831,49.51456023,38.27125782,46.28999788,51.99899279,46.25449787,79.51271224,136.6844674,1.563065142
161,down,2.965322842,3.238043496,3.422897395,3.027325763,3.311950897,3.507086432,3.214467234,4.202534557,5.494315361,0.472071983
162,up,4.951598058,6.292073924,7.319783951,5.238931426,6.690857087,7.822287609,6.027100086,12.37049439,25.39017593,0.694745384
163,down,4.061949697,4.71063764,5.168778013,4.20667989,4.891980688,5.382510535,4.666217182,7.276243038,11.34617415,0.608734541
164,down,3.442911471,3.836021536,4.106792961,3.531809554,3.943760076,4.23171198,3.744507553,5.161582574,7.11493682,0.536925856
165,down,2.62544139,2.939231995,3.15314379,2.696740951,3.024576834,3.251121702,2.92306752,4.080484733,5.696192628,0.419202328
166,down,45.1418356,54.15321711,60.95373234,47.1016566,56.79328899,64.29485232,47.68842358,80.37174329,135.4546163,1.654579215
167,down,2.569930176,2.885761782,3.100533887,2.641832339,2.971476992,3.198853461,2.873226511,4.03281601,5.660397783,0.409921324
168,down,39.65493936,45.45275994,49.48224324,40.9563296,47.05514175,51.33909796,46.38845691,70.29726589,106.5287772,1.59829729
169,down,2.600590025,2.961341879,3.209846192,2.682180588,3.060233367,3.324375359,2.9468049,4.315433025,6.319713325,0.415071892
170,down,2.369765722,2.583986434,2.72789499,2.418798925,2.641587025,2.793337671,2.552555886,3.29676331,4.257947253,0.374705413
171,down,2.842990985,3.186862107,3.421267799,2.921138595,3.280380011,3.528645773,3.17048498,4.439584317,6.216685783,0.453775483
172,up,12.16298328,51.61815386,100,16.79778459,78.32006709,100,4.723265166,169.496173,6082.434853,1.08504011
173,down,41.29601672,47.08851248,51.10019786,42.59818291,48.68524759,52.94478499,48.06487848,71.7673234,107.1582592,1.615908163
174,up,11.1228276,86.93855264,100,17.20154431,100,100,1.386294528,116.1737077,9735.54327,1.046215206
175,up,4.445256273,6.942304724,9.53475359,4.920499864,7.856381435,11.16298291,3.677151618,11.43040111,35.53132512,0.647896803
176,down,36.59141519,42.96358662,47.44809054,38.01253699,44.74207496,49.52689031,44.85032867,73.11336567,119.1867351,1.563379206
177,up,1.267001779,1.941762784,3.313262776,1.381423187,2.276697116,100,0.801286743,1.75084292,3.825660362,0.102777225
178,up,1.142553412,1.56682626,2.222735104,1.219401999,1.752293985,3.42034514,0.818860169,1.50282738,2.75809011,0.057876512
179,up,2.120761597,4.604639399,12.0704608,2.481737698,6.142425605,100,0.924524914,3.832019369,15.88315493,0.326491851
180,up,1.742329432,2.56449199,100,1.86874647,3.157039818,100,1.151442662,2.007862541,3.501270291,0.241130273
181,up,4.026046104,5.456638248,6.848389206,4.31052246,5.952961874,7.714602919,3.341773795,7.042928729,14.84326831,0.604878744
